Category: All categories

Week,cold vs flu: (United States)
2020-05-10,11
2020-05-17,11
2020-05-24,10
2020-05-31,9
2020-06-07,11
2020-06-14,10
2020-06-21,13
2020-06-28,15
2020-07-05,17
2020-07-12,13
2020-07-19,14
2020-07-26,13
2020-08-02,15
2020-08-09,12
2020-08-16,13
2020-08-23,11
2020-08-30,15
2020-09-06,17
2020-09-13,17
2020-09-20,30
2020-09-27,29
2020-10-04,34
2020-10-11,29
2020-10-18,33
2020-10-25,33
2020-11-01,32
2020-11-08,35
2020-11-15,48
2020-11-22,41
2020-11-29,68
2020-12-06,61
2020-12-13,53
2020-12-20,50
2020-12-27,46
2021-01-03,38
2021-01-10,28
2021-01-17,29
2021-01-24,24
2021-01-31,22
2021-02-07,20
2021-02-14,21
2021-02-21,15
2021-02-28,16
2021-03-07,13
2021-03-14,15
2021-03-21,13
2021-03-28,17
2021-04-04,18
2021-04-11,18
2021-04-18,19
2021-04-25,15
2021-05-02,13
2021-05-09,15
2021-05-16,15
2021-05-23,14
2021-05-30,19
2021-06-06,14
2021-06-13,13
2021-06-20,14
2021-06-27,14
2021-07-04,19
2021-07-11,16
2021-07-18,17
2021-07-25,24
2021-08-01,24
2021-08-08,21
2021-08-15,21
2021-08-22,21
2021-08-29,23
2021-09-05,20
2021-09-12,25
2021-09-19,29
2021-09-26,27
2021-10-03,31
2021-10-10,31
2021-10-17,33
2021-10-24,32
2021-10-31,36
2021-11-07,45
2021-11-14,51
2021-11-21,42
2021-11-28,54
2021-12-05,49
2021-12-12,62
2021-12-19,84
2021-12-26,93
2022-01-02,100
2022-01-09,63
2022-01-16,40
2022-01-23,29
2022-01-30,18
2022-02-06,19
2022-02-13,17
2022-02-20,18
2022-02-27,17
2022-03-06,20
2022-03-13,24
2022-03-20,24
2022-03-27,27
2022-04-03,21
2022-04-10,26
2022-04-17,29
2022-04-24,24
2022-05-01,25
2022-05-08,26
2022-05-15,23
2022-05-22,22
2022-05-29,22
2022-06-05,16
2022-06-12,18
2022-06-19,17
2022-06-26,18
2022-07-03,18
2022-07-10,16
2022-07-17,12
2022-07-24,14
2022-07-31,13
2022-08-07,13
2022-08-14,17
2022-08-21,14
2022-08-28,18
2022-09-04,19
2022-09-11,24
2022-09-18,26
2022-09-25,24
2022-10-02,32
2022-10-09,36
2022-10-16,44
2022-10-23,44
2022-10-30,56
2022-11-06,60
2022-11-13,76
2022-11-20,99
2022-11-27,97
2022-12-04,93
2022-12-11,92
2022-12-18,95
2022-12-25,91
2023-01-01,57
2023-01-08,45
2023-01-15,33
2023-01-22,37
2023-01-29,35
2023-02-05,35
2023-02-12,33
2023-02-19,39
2023-02-26,23
2023-03-05,26
2023-03-12,27
2023-03-19,28
2023-03-26,26
2023-04-02,24
2023-04-09,17
2023-04-16,19
2023-04-23,19
2023-04-30,17
2023-05-07,17
2023-05-14,17
2023-05-21,16
2023-05-28,17
2023-06-04,15
2023-06-11,12
2023-06-18,14
2023-06-25,12
2023-07-02,11
2023-07-09,12
2023-07-16,12
2023-07-23,11
2023-07-30,12
2023-08-06,20
2023-08-13,17
2023-08-20,18
2023-08-27,23
2023-09-03,24
2023-09-10,30
2023-09-17,33
2023-09-24,32
2023-10-01,33
2023-10-08,39
2023-10-15,36
2023-10-22,33
2023-10-29,41
2023-11-05,40
2023-11-12,46
2023-11-19,42
2023-11-26,60
2023-12-03,52
2023-12-10,68
2023-12-17,76
2023-12-24,86
2023-12-31,77
2024-01-07,60
2024-01-14,58
2024-01-21,45
2024-01-28,45
2024-02-04,41
2024-02-11,43
2024-02-18,45
2024-02-25,40
2024-03-03,31
2024-03-10,29
2024-03-17,28
2024-03-24,27
2024-03-31,30
2024-04-07,21
2024-04-14,19
2024-04-21,26
2024-04-28,20
2024-05-05,20
2024-05-12,16
2024-05-19,16
2024-05-26,21
2024-06-02,15
2024-06-09,16
2024-06-16,14
2024-06-23,16
2024-06-30,14
2024-07-07,14
2024-07-14,11
2024-07-21,17
2024-07-28,16
2024-08-04,19
2024-08-11,14
2024-08-18,20
2024-08-25,20
2024-09-01,21
2024-09-08,22
2024-09-15,25
2024-09-22,24
2024-09-29,26
2024-10-06,27
2024-10-13,26
2024-10-20,35
2024-10-27,28
2024-11-03,30
2024-11-10,32
2024-11-17,37
2024-11-24,33
2024-12-01,43
2024-12-08,44
2024-12-15,56
2024-12-22,82
2024-12-29,75
2025-01-05,61
2025-01-12,54
2025-01-19,70
2025-01-26,80
2025-02-02,78
2025-02-09,74
2025-02-16,70
2025-02-23,55
2025-03-02,46
2025-03-09,44
2025-03-16,33
2025-03-23,27
2025-03-30,27
2025-04-06,26
2025-04-13,22
2025-04-20,26
2025-04-27,18
2025-05-04,21
2025-05-11,21
