Category: All categories

Week,cough: (United States)
2020-05-10,27
2020-05-17,26
2020-05-24,23
2020-05-31,21
2020-06-07,22
2020-06-14,24
2020-06-21,27
2020-06-28,28
2020-07-05,28
2020-07-12,31
2020-07-19,29
2020-07-26,28
2020-08-02,27
2020-08-09,26
2020-08-16,26
2020-08-23,24
2020-08-30,25
2020-09-06,25
2020-09-13,25
2020-09-20,27
2020-09-27,29
2020-10-04,32
2020-10-11,32
2020-10-18,33
2020-10-25,32
2020-11-01,28
2020-11-08,37
2020-11-15,37
2020-11-22,37
2020-11-29,36
2020-12-06,35
2020-12-13,36
2020-12-20,35
2020-12-27,38
2021-01-03,34
2021-01-10,33
2021-01-17,31
2021-01-24,30
2021-01-31,31
2021-02-07,29
2021-02-14,27
2021-02-21,28
2021-02-28,27
2021-03-07,28
2021-03-14,28
2021-03-21,31
2021-03-28,31
2021-04-04,33
2021-04-11,34
2021-04-18,35
2021-04-25,33
2021-05-02,34
2021-05-09,36
2021-05-16,37
2021-05-23,37
2021-05-30,38
2021-06-06,36
2021-06-13,39
2021-06-20,39
2021-06-27,39
2021-07-04,41
2021-07-11,44
2021-07-18,45
2021-07-25,48
2021-08-01,49
2021-08-08,49
2021-08-15,52
2021-08-22,52
2021-08-29,51
2021-09-05,52
2021-09-12,52
2021-09-19,53
2021-09-26,52
2021-10-03,52
2021-10-10,51
2021-10-17,53
2021-10-24,55
2021-10-31,56
2021-11-07,61
2021-11-14,60
2021-11-21,58
2021-11-28,61
2021-12-05,60
2021-12-12,65
2021-12-19,77
2021-12-26,93
2022-01-02,95
2022-01-09,80
2022-01-16,66
2022-01-23,55
2022-01-30,48
2022-02-06,46
2022-02-13,41
2022-02-20,43
2022-02-27,41
2022-03-06,45
2022-03-13,45
2022-03-20,47
2022-03-27,45
2022-04-03,49
2022-04-10,49
2022-04-17,49
2022-04-24,48
2022-05-01,50
2022-05-08,53
2022-05-15,56
2022-05-22,59
2022-05-29,57
2022-06-05,56
2022-06-12,52
2022-06-19,51
2022-06-26,49
2022-07-03,48
2022-07-10,46
2022-07-17,46
2022-07-24,45
2022-07-31,41
2022-08-07,44
2022-08-14,44
2022-08-21,47
2022-08-28,52
2022-09-04,48
2022-09-11,52
2022-09-18,55
2022-09-25,56
2022-10-02,58
2022-10-09,61
2022-10-16,64
2022-10-23,71
2022-10-30,75
2022-11-06,78
2022-11-13,83
2022-11-20,92
2022-11-27,92
2022-12-04,83
2022-12-11,88
2022-12-18,86
2022-12-25,89
2023-01-01,72
2023-01-08,59
2023-01-15,56
2023-01-22,55
2023-01-29,53
2023-02-05,59
2023-02-12,58
2023-02-19,58
2023-02-26,55
2023-03-05,55
2023-03-12,54
2023-03-19,55
2023-03-26,54
2023-04-02,50
2023-04-09,50
2023-04-16,50
2023-04-23,47
2023-04-30,47
2023-05-07,47
2023-05-14,47
2023-05-21,47
2023-05-28,45
2023-06-04,42
2023-06-11,41
2023-06-18,39
2023-06-25,37
2023-07-02,36
2023-07-09,34
2023-07-16,33
2023-07-23,34
2023-07-30,35
2023-08-06,35
2023-08-13,38
2023-08-20,40
2023-08-27,43
2023-09-03,45
2023-09-10,47
2023-09-17,49
2023-09-24,52
2023-10-01,52
2023-10-08,56
2023-10-15,57
2023-10-22,62
2023-10-29,63
2023-11-05,70
2023-11-12,72
2023-11-19,76
2023-11-26,75
2023-12-03,73
2023-12-10,80
2023-12-17,89
2023-12-24,93
2023-12-31,87
2024-01-07,71
2024-01-14,63
2024-01-21,60
2024-01-28,60
2024-02-04,62
2024-02-11,59
2024-02-18,61
2024-02-25,59
2024-03-03,56
2024-03-10,54
2024-03-17,52
2024-03-24,53
2024-03-31,49
2024-04-07,49
2024-04-14,49
2024-04-21,48
2024-04-28,46
2024-05-05,47
2024-05-12,48
2024-05-19,47
2024-05-26,47
2024-06-02,45
2024-06-09,41
2024-06-16,39
2024-06-23,38
2024-06-30,37
2024-07-07,36
2024-07-14,36
2024-07-21,36
2024-07-28,36
2024-08-04,36
2024-08-11,37
2024-08-18,39
2024-08-25,41
2024-09-01,43
2024-09-08,46
2024-09-15,48
2024-09-22,49
2024-09-29,49
2024-10-06,51
2024-10-13,57
2024-10-20,60
2024-10-27,59
2024-11-03,56
2024-11-10,63
2024-11-17,68
2024-11-24,71
2024-12-01,72
2024-12-08,69
2024-12-15,77
2024-12-22,100
2024-12-29,97
2025-01-05,76
2025-01-12,71
2025-01-19,76
2025-01-26,82
2025-02-02,79
2025-02-09,71
2025-02-16,68
2025-02-23,61
2025-03-02,59
2025-03-09,57
2025-03-16,54
2025-03-23,51
2025-03-30,52
2025-04-06,49
2025-04-13,49
2025-04-20,49
2025-04-27,48
2025-05-04,45
2025-05-11,50
