Category: All categories

Week,fever: (United States)
2020-05-10,39
2020-05-17,35
2020-05-24,35
2020-05-31,32
2020-06-07,33
2020-06-14,37
2020-06-21,41
2020-06-28,45
2020-07-05,46
2020-07-12,47
2020-07-19,43
2020-07-26,42
2020-08-02,38
2020-08-09,38
2020-08-16,34
2020-08-23,34
2020-08-30,33
2020-09-06,34
2020-09-13,33
2020-09-20,34
2020-09-27,36
2020-10-04,39
2020-10-11,36
2020-10-18,37
2020-10-25,37
2020-11-01,32
2020-11-08,39
2020-11-15,43
2020-11-22,39
2020-11-29,39
2020-12-06,42
2020-12-13,40
2020-12-20,38
2020-12-27,42
2021-01-03,41
2021-01-10,37
2021-01-17,36
2021-01-24,35
2021-01-31,36
2021-02-07,35
2021-02-14,31
2021-02-21,35
2021-02-28,32
2021-03-07,33
2021-03-14,31
2021-03-21,34
2021-03-28,36
2021-04-04,37
2021-04-11,38
2021-04-18,38
2021-04-25,38
2021-05-02,38
2021-05-09,37
2021-05-16,36
2021-05-23,34
2021-05-30,33
2021-06-06,32
2021-06-13,33
2021-06-20,33
2021-06-27,33
2021-07-04,34
2021-07-11,36
2021-07-18,39
2021-07-25,40
2021-08-01,42
2021-08-08,44
2021-08-15,46
2021-08-22,45
2021-08-29,45
2021-09-05,45
2021-09-12,42
2021-09-19,44
2021-09-26,41
2021-10-03,41
2021-10-10,40
2021-10-17,37
2021-10-24,37
2021-10-31,38
2021-11-07,42
2021-11-14,40
2021-11-21,39
2021-11-28,43
2021-12-05,45
2021-12-12,47
2021-12-19,62
2021-12-26,81
2022-01-02,80
2022-01-09,68
2022-01-16,57
2022-01-23,46
2022-01-30,42
2022-02-06,39
2022-02-13,37
2022-02-20,35
2022-02-27,35
2022-03-06,33
2022-03-13,40
2022-03-20,38
2022-03-27,37
2022-04-03,40
2022-04-10,41
2022-04-17,39
2022-04-24,40
2022-05-01,43
2022-05-08,45
2022-05-15,46
2022-05-22,47
2022-05-29,46
2022-06-05,45
2022-06-12,42
2022-06-19,45
2022-06-26,44
2022-07-03,45
2022-07-10,44
2022-07-17,45
2022-07-24,44
2022-07-31,41
2022-08-07,42
2022-08-14,41
2022-08-21,41
2022-08-28,41
2022-09-04,39
2022-09-11,40
2022-09-18,40
2022-09-25,39
2022-10-02,42
2022-10-09,42
2022-10-16,44
2022-10-23,49
2022-10-30,52
2022-11-06,55
2022-11-13,54
2022-11-20,63
2022-11-27,58
2022-12-04,61
2022-12-11,60
2022-12-18,57
2022-12-25,55
2023-01-01,43
2023-01-08,41
2023-01-15,39
2023-01-22,39
2023-01-29,45
2023-02-05,43
2023-02-12,40
2023-02-19,43
2023-02-26,42
2023-03-05,42
2023-03-12,42
2023-03-19,42
2023-03-26,39
2023-04-02,40
2023-04-09,38
2023-04-16,39
2023-04-23,38
2023-04-30,37
2023-05-07,39
2023-05-14,40
2023-05-21,41
2023-05-28,38
2023-06-04,37
2023-06-11,37
2023-06-18,34
2023-06-25,36
2023-07-02,35
2023-07-09,35
2023-07-16,34
2023-07-23,34
2023-07-30,34
2023-08-06,34
2023-08-13,37
2023-08-20,36
2023-08-27,38
2023-09-03,38
2023-09-10,38
2023-09-17,38
2023-09-24,40
2023-10-01,36
2023-10-08,37
2023-10-15,39
2023-10-22,40
2023-10-29,39
2023-11-05,43
2023-11-12,43
2023-11-19,42
2023-11-26,44
2023-12-03,49
2023-12-10,53
2023-12-17,61
2023-12-24,63
2023-12-31,51
2024-01-07,47
2024-01-14,42
2024-01-21,46
2024-01-28,47
2024-02-04,47
2024-02-11,46
2024-02-18,46
2024-02-25,45
2024-03-03,45
2024-03-10,42
2024-03-17,38
2024-03-24,40
2024-03-31,37
2024-04-07,40
2024-04-14,53
2024-04-21,41
2024-04-28,55
2024-05-05,49
2024-05-12,80
2024-05-19,82
2024-05-26,88
2024-06-02,78
2024-06-09,70
2024-06-16,89
2024-06-23,79
2024-06-30,84
2024-07-07,77
2024-07-14,70
2024-07-21,41
2024-07-28,35
2024-08-04,37
2024-08-11,53
2024-08-18,67
2024-08-25,100
2024-09-01,92
2024-09-08,86
2024-09-15,75
2024-09-22,85
2024-09-29,39
2024-10-06,38
2024-10-13,37
2024-10-20,39
2024-10-27,45
2024-11-03,36
2024-11-10,38
2024-11-17,41
2024-11-24,42
2024-12-01,41
2024-12-08,47
2024-12-15,55
2024-12-22,62
2024-12-29,58
2025-01-05,50
2025-01-12,54
2025-01-19,58
2025-01-26,68
2025-02-02,67
2025-02-09,59
2025-02-16,53
2025-02-23,51
2025-03-02,45
2025-03-09,48
2025-03-16,43
2025-03-23,43
2025-03-30,41
2025-04-06,39
2025-04-13,43
2025-04-20,40
2025-04-27,45
2025-05-04,53
2025-05-11,50
