Category: All categories

Week,flu shot: (United States)
2020-05-10,6
2020-05-17,5
2020-05-24,3
2020-05-31,2
2020-06-07,2
2020-06-14,3
2020-06-21,3
2020-06-28,4
2020-07-05,3
2020-07-12,4
2020-07-19,4
2020-07-26,5
2020-08-02,7
2020-08-09,11
2020-08-16,25
2020-08-23,25
2020-08-30,36
2020-09-06,49
2020-09-13,67
2020-09-20,81
2020-09-27,92
2020-10-04,100
2020-10-11,92
2020-10-18,81
2020-10-25,66
2020-11-01,39
2020-11-08,45
2020-11-15,44
2020-11-22,24
2020-11-29,24
2020-12-06,23
2020-12-13,20
2020-12-20,13
2020-12-27,11
2021-01-03,12
2021-01-10,11
2021-01-17,10
2021-01-24,10
2021-01-31,8
2021-02-07,7
2021-02-14,6
2021-02-21,6
2021-02-28,7
2021-03-07,7
2021-03-14,6
2021-03-21,6
2021-03-28,6
2021-04-04,6
2021-04-11,7
2021-04-18,5
2021-04-25,4
2021-05-02,4
2021-05-09,4
2021-05-16,4
2021-05-23,3
2021-05-30,3
2021-06-06,3
2021-06-13,3
2021-06-20,2
2021-06-27,2
2021-07-04,2
2021-07-11,3
2021-07-18,4
2021-07-25,5
2021-08-01,7
2021-08-08,9
2021-08-15,12
2021-08-22,15
2021-08-29,19
2021-09-05,30
2021-09-12,36
2021-09-19,50
2021-09-26,66
2021-10-03,71
2021-10-10,73
2021-10-17,65
2021-10-24,63
2021-10-31,52
2021-11-07,48
2021-11-14,44
2021-11-21,30
2021-11-28,34
2021-12-05,26
2021-12-12,23
2021-12-19,20
2021-12-26,18
2022-01-02,19
2022-01-09,14
2022-01-16,8
2022-01-23,7
2022-01-30,6
2022-02-06,5
2022-02-13,4
2022-02-20,4
2022-02-27,4
2022-03-06,3
2022-03-13,3
2022-03-20,3
2022-03-27,3
2022-04-03,3
2022-04-10,2
2022-04-17,2
2022-04-24,2
2022-05-01,2
2022-05-08,2
2022-05-15,2
2022-05-22,2
2022-05-29,2
2022-06-05,2
2022-06-12,2
2022-06-19,2
2022-06-26,2
2022-07-03,2
2022-07-10,2
2022-07-17,2
2022-07-24,2
2022-07-31,3
2022-08-07,4
2022-08-14,6
2022-08-21,7
2022-08-28,11
2022-09-04,21
2022-09-11,29
2022-09-18,40
2022-09-25,43
2022-10-02,58
2022-10-09,67
2022-10-16,70
2022-10-23,71
2022-10-30,57
2022-11-06,48
2022-11-13,44
2022-11-20,32
2022-11-27,33
2022-12-04,35
2022-12-11,29
2022-12-18,19
2022-12-25,11
2023-01-01,9
2023-01-08,8
2023-01-15,6
2023-01-22,5
2023-01-29,4
2023-02-05,4
2023-02-12,4
2023-02-19,3
2023-02-26,3
2023-03-05,3
2023-03-12,3
2023-03-19,3
2023-03-26,2
2023-04-02,2
2023-04-09,2
2023-04-16,2
2023-04-23,2
2023-04-30,1
2023-05-07,1
2023-05-14,2
2023-05-21,1
2023-05-28,1
2023-06-04,1
2023-06-11,1
2023-06-18,1
2023-06-25,1
2023-07-02,1
2023-07-09,1
2023-07-16,2
2023-07-23,2
2023-07-30,3
2023-08-06,5
2023-08-13,6
2023-08-20,8
2023-08-27,11
2023-09-03,19
2023-09-10,28
2023-09-17,37
2023-09-24,44
2023-10-01,48
2023-10-08,50
2023-10-15,45
2023-10-22,42
2023-10-29,37
2023-11-05,31
2023-11-12,27
2023-11-19,19
2023-11-26,21
2023-12-03,17
2023-12-10,16
2023-12-17,15
2023-12-24,11
2023-12-31,12
2024-01-07,9
2024-01-14,8
2024-01-21,7
2024-01-28,6
2024-02-04,5
2024-02-11,5
2024-02-18,4
2024-02-25,4
2024-03-03,4
2024-03-10,3
2024-03-17,3
2024-03-24,3
2024-03-31,2
2024-04-07,2
2024-04-14,2
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,1
2024-06-02,2
2024-06-09,2
2024-06-16,2
2024-06-23,2
2024-06-30,2
2024-07-07,2
2024-07-14,2
2024-07-21,2
2024-07-28,3
2024-08-04,4
2024-08-11,6
2024-08-18,9
2024-08-25,11
2024-09-01,18
2024-09-08,24
2024-09-15,30
2024-09-22,34
2024-09-29,38
2024-10-06,39
2024-10-13,39
2024-10-20,36
2024-10-27,33
2024-11-03,24
2024-11-10,24
2024-11-17,21
2024-11-24,14
2024-12-01,14
2024-12-08,13
2024-12-15,13
2024-12-22,11
2024-12-29,12
2025-01-05,12
2025-01-12,11
2025-01-19,10
2025-01-26,12
2025-02-02,14
2025-02-09,13
2025-02-16,10
2025-02-23,9
2025-03-02,6
2025-03-09,5
2025-03-16,4
2025-03-23,3
2025-03-30,3
2025-04-06,3
2025-04-13,3
2025-04-20,2
2025-04-27,2
2025-05-04,2
2025-05-11,2
