Category: All categories

Week,flu vaccine: (United States)
2020-05-10,26
2020-05-17,21
2020-05-24,16
2020-05-31,8
2020-06-07,9
2020-06-14,10
2020-06-21,12
2020-06-28,17
2020-07-05,14
2020-07-12,19
2020-07-19,18
2020-07-26,20
2020-08-02,21
2020-08-09,28
2020-08-16,40
2020-08-23,37
2020-08-30,45
2020-09-06,58
2020-09-13,68
2020-09-20,75
2020-09-27,72
2020-10-04,78
2020-10-11,67
2020-10-18,61
2020-10-25,49
2020-11-01,29
2020-11-08,45
2020-11-15,51
2020-11-22,35
2020-11-29,42
2020-12-06,56
2020-12-13,62
2020-12-20,44
2020-12-27,39
2021-01-03,39
2021-01-10,40
2021-01-17,40
2021-01-24,39
2021-01-31,33
2021-02-07,29
2021-02-14,23
2021-02-21,29
2021-02-28,33
2021-03-07,39
2021-03-14,36
2021-03-21,30
2021-03-28,39
2021-04-04,39
2021-04-11,39
2021-04-18,27
2021-04-25,26
2021-05-02,25
2021-05-09,25
2021-05-16,22
2021-05-23,18
2021-05-30,16
2021-06-06,13
2021-06-13,13
2021-06-20,13
2021-06-27,11
2021-07-04,13
2021-07-11,16
2021-07-18,23
2021-07-25,31
2021-08-01,40
2021-08-08,42
2021-08-15,44
2021-08-22,50
2021-08-29,46
2021-09-05,59
2021-09-12,74
2021-09-19,85
2021-09-26,100
2021-10-03,99
2021-10-10,94
2021-10-17,83
2021-10-24,78
2021-10-31,69
2021-11-07,63
2021-11-14,56
2021-11-21,42
2021-11-28,48
2021-12-05,43
2021-12-12,39
2021-12-19,39
2021-12-26,36
2022-01-02,42
2022-01-09,33
2022-01-16,23
2022-01-23,19
2022-01-30,15
2022-02-06,14
2022-02-13,12
2022-02-20,10
2022-02-27,10
2022-03-06,10
2022-03-13,10
2022-03-20,10
2022-03-27,10
2022-04-03,10
2022-04-10,9
2022-04-17,9
2022-04-24,8
2022-05-01,8
2022-05-08,8
2022-05-15,8
2022-05-22,6
2022-05-29,6
2022-06-05,6
2022-06-12,6
2022-06-19,6
2022-06-26,6
2022-07-03,6
2022-07-10,6
2022-07-17,7
2022-07-24,7
2022-07-31,9
2022-08-07,10
2022-08-14,12
2022-08-21,14
2022-08-28,21
2022-09-04,34
2022-09-11,42
2022-09-18,50
2022-09-25,52
2022-10-02,69
2022-10-09,73
2022-10-16,71
2022-10-23,80
2022-10-30,65
2022-11-06,51
2022-11-13,45
2022-11-20,37
2022-11-27,41
2022-12-04,42
2022-12-11,38
2022-12-18,27
2022-12-25,18
2023-01-01,16
2023-01-08,15
2023-01-15,13
2023-01-22,12
2023-01-29,11
2023-02-05,10
2023-02-12,9
2023-02-19,9
2023-02-26,10
2023-03-05,8
2023-03-12,7
2023-03-19,8
2023-03-26,8
2023-04-02,6
2023-04-09,6
2023-04-16,6
2023-04-23,7
2023-04-30,7
2023-05-07,5
2023-05-14,6
2023-05-21,6
2023-05-28,5
2023-06-04,5
2023-06-11,6
2023-06-18,5
2023-06-25,5
2023-07-02,5
2023-07-09,6
2023-07-16,5
2023-07-23,7
2023-07-30,8
2023-08-06,13
2023-08-13,14
2023-08-20,18
2023-08-27,24
2023-09-03,32
2023-09-10,46
2023-09-17,62
2023-09-24,69
2023-10-01,74
2023-10-08,69
2023-10-15,58
2023-10-22,57
2023-10-29,49
2023-11-05,42
2023-11-12,36
2023-11-19,28
2023-11-26,32
2023-12-03,27
2023-12-10,26
2023-12-17,25
2023-12-24,19
2023-12-31,21
2024-01-07,19
2024-01-14,15
2024-01-21,14
2024-01-28,13
2024-02-04,12
2024-02-11,11
2024-02-18,11
2024-02-25,11
2024-03-03,10
2024-03-10,9
2024-03-17,8
2024-03-24,8
2024-03-31,8
2024-04-07,7
2024-04-14,8
2024-04-21,8
2024-04-28,7
2024-05-05,7
2024-05-12,6
2024-05-19,6
2024-05-26,7
2024-06-02,8
2024-06-09,7
2024-06-16,7
2024-06-23,6
2024-06-30,6
2024-07-07,6
2024-07-14,7
2024-07-21,8
2024-07-28,9
2024-08-04,11
2024-08-11,16
2024-08-18,21
2024-08-25,29
2024-09-01,37
2024-09-08,44
2024-09-15,47
2024-09-22,55
2024-09-29,57
2024-10-06,52
2024-10-13,54
2024-10-20,48
2024-10-27,43
2024-11-03,34
2024-11-10,35
2024-11-17,31
2024-11-24,24
2024-12-01,25
2024-12-08,23
2024-12-15,25
2024-12-22,24
2024-12-29,29
2025-01-05,26
2025-01-12,23
2025-01-19,22
2025-01-26,29
2025-02-02,31
2025-02-09,33
2025-02-16,30
2025-02-23,36
2025-03-02,21
2025-03-09,17
2025-03-16,12
2025-03-23,12
2025-03-30,11
2025-04-06,12
2025-04-13,9
2025-04-20,9
2025-04-27,10
2025-05-04,8
2025-05-11,5
