Category: All categories

Week,how to treat flu: (United States)
2020-05-10,7
2020-05-17,8
2020-05-24,7
2020-05-31,6
2020-06-07,5
2020-06-14,8
2020-06-21,8
2020-06-28,9
2020-07-05,6
2020-07-12,8
2020-07-19,5
2020-07-26,7
2020-08-02,5
2020-08-09,5
2020-08-16,5
2020-08-23,6
2020-08-30,7
2020-09-06,6
2020-09-13,12
2020-09-20,13
2020-09-27,10
2020-10-04,14
2020-10-11,14
2020-10-18,13
2020-10-25,9
2020-11-01,6
2020-11-08,10
2020-11-15,16
2020-11-22,10
2020-11-29,15
2020-12-06,12
2020-12-13,11
2020-12-20,9
2020-12-27,13
2021-01-03,13
2021-01-10,9
2021-01-17,9
2021-01-24,9
2021-01-31,11
2021-02-07,11
2021-02-14,9
2021-02-21,8
2021-02-28,7
2021-03-07,9
2021-03-14,9
2021-03-21,9
2021-03-28,8
2021-04-04,8
2021-04-11,9
2021-04-18,11
2021-04-25,9
2021-05-02,9
2021-05-09,9
2021-05-16,6
2021-05-23,8
2021-05-30,12
2021-06-06,7
2021-06-13,7
2021-06-20,7
2021-06-27,8
2021-07-04,10
2021-07-11,9
2021-07-18,8
2021-07-25,11
2021-08-01,9
2021-08-08,10
2021-08-15,11
2021-08-22,10
2021-08-29,10
2021-09-05,13
2021-09-12,13
2021-09-19,11
2021-09-26,15
2021-10-03,14
2021-10-10,13
2021-10-17,17
2021-10-24,17
2021-10-31,18
2021-11-07,18
2021-11-14,27
2021-11-21,19
2021-11-28,26
2021-12-05,22
2021-12-12,26
2021-12-19,40
2021-12-26,45
2022-01-02,40
2022-01-09,31
2022-01-16,20
2022-01-23,17
2022-01-30,15
2022-02-06,15
2022-02-13,14
2022-02-20,18
2022-02-27,15
2022-03-06,18
2022-03-13,23
2022-03-20,23
2022-03-27,26
2022-04-03,26
2022-04-10,28
2022-04-17,24
2022-04-24,21
2022-05-01,21
2022-05-08,25
2022-05-15,19
2022-05-22,21
2022-05-29,21
2022-06-05,15
2022-06-12,14
2022-06-19,11
2022-06-26,10
2022-07-03,11
2022-07-10,10
2022-07-17,11
2022-07-24,12
2022-07-31,9
2022-08-07,10
2022-08-14,11
2022-08-21,12
2022-08-28,14
2022-09-04,13
2022-09-11,12
2022-09-18,16
2022-09-25,18
2022-10-02,19
2022-10-09,24
2022-10-16,30
2022-10-23,48
2022-10-30,49
2022-11-06,57
2022-11-13,55
2022-11-20,74
2022-11-27,76
2022-12-04,74
2022-12-11,70
2022-12-18,59
2022-12-25,48
2023-01-01,35
2023-01-08,26
2023-01-15,23
2023-01-22,20
2023-01-29,23
2023-02-05,23
2023-02-12,24
2023-02-19,24
2023-02-26,23
2023-03-05,21
2023-03-12,20
2023-03-19,20
2023-03-26,18
2023-04-02,19
2023-04-09,15
2023-04-16,17
2023-04-23,15
2023-04-30,14
2023-05-07,14
2023-05-14,16
2023-05-21,12
2023-05-28,14
2023-06-04,12
2023-06-11,12
2023-06-18,8
2023-06-25,8
2023-07-02,10
2023-07-09,10
2023-07-16,9
2023-07-23,7
2023-07-30,9
2023-08-06,9
2023-08-13,10
2023-08-20,12
2023-08-27,9
2023-09-03,15
2023-09-10,13
2023-09-17,15
2023-09-24,12
2023-10-01,16
2023-10-08,19
2023-10-15,21
2023-10-22,19
2023-10-29,24
2023-11-05,28
2023-11-12,34
2023-11-19,32
2023-11-26,37
2023-12-03,34
2023-12-10,45
2023-12-17,66
2023-12-24,65
2023-12-31,49
2024-01-07,41
2024-01-14,37
2024-01-21,41
2024-01-28,33
2024-02-04,37
2024-02-11,34
2024-02-18,33
2024-02-25,36
2024-03-03,26
2024-03-10,23
2024-03-17,22
2024-03-24,19
2024-03-31,20
2024-04-07,18
2024-04-14,18
2024-04-21,16
2024-04-28,14
2024-05-05,13
2024-05-12,13
2024-05-19,12
2024-05-26,11
2024-06-02,11
2024-06-09,8
2024-06-16,11
2024-06-23,10
2024-06-30,10
2024-07-07,11
2024-07-14,11
2024-07-21,9
2024-07-28,12
2024-08-04,7
2024-08-11,9
2024-08-18,11
2024-08-25,12
2024-09-01,19
2024-09-08,17
2024-09-15,16
2024-09-22,14
2024-09-29,18
2024-10-06,16
2024-10-13,12
2024-10-20,18
2024-10-27,17
2024-11-03,18
2024-11-10,17
2024-11-17,24
2024-11-24,19
2024-12-01,25
2024-12-08,32
2024-12-15,52
2024-12-22,70
2024-12-29,62
2025-01-05,47
2025-01-12,58
2025-01-19,72
2025-01-26,95
2025-02-02,100
2025-02-09,86
2025-02-16,65
2025-02-23,57
2025-03-02,46
2025-03-09,33
2025-03-16,31
2025-03-23,24
2025-03-30,20
2025-04-06,20
2025-04-13,20
2025-04-20,20
2025-04-27,14
2025-05-04,15
2025-05-11,13
