Category: All categories

Week,tiredness: (United States)
2020-05-10,80
2020-05-17,78
2020-05-24,71
2020-05-31,77
2020-06-07,76
2020-06-14,86
2020-06-21,93
2020-06-28,87
2020-07-05,95
2020-07-12,98
2020-07-19,92
2020-07-26,81
2020-08-02,80
2020-08-09,81
2020-08-16,79
2020-08-23,76
2020-08-30,68
2020-09-06,77
2020-09-13,71
2020-09-20,75
2020-09-27,69
2020-10-04,70
2020-10-11,71
2020-10-18,75
2020-10-25,66
2020-11-01,56
2020-11-08,69
2020-11-15,74
2020-11-22,64
2020-11-29,70
2020-12-06,71
2020-12-13,68
2020-12-20,64
2020-12-27,73
2021-01-03,76
2021-01-10,73
2021-01-17,72
2021-01-24,72
2021-01-31,69
2021-02-07,69
2021-02-14,70
2021-02-21,76
2021-02-28,84
2021-03-07,74
2021-03-14,85
2021-03-21,89
2021-03-28,86
2021-04-04,91
2021-04-11,95
2021-04-18,91
2021-04-25,90
2021-05-02,86
2021-05-09,79
2021-05-16,78
2021-05-23,87
2021-05-30,76
2021-06-06,74
2021-06-13,80
2021-06-20,86
2021-06-27,75
2021-07-04,75
2021-07-11,89
2021-07-18,81
2021-07-25,91
2021-08-01,87
2021-08-08,87
2021-08-15,80
2021-08-22,79
2021-08-29,77
2021-09-05,78
2021-09-12,78
2021-09-19,73
2021-09-26,79
2021-10-03,77
2021-10-10,76
2021-10-17,69
2021-10-24,64
2021-10-31,66
2021-11-07,69
2021-11-14,68
2021-11-21,60
2021-11-28,71
2021-12-05,65
2021-12-12,68
2021-12-19,68
2021-12-26,74
2022-01-02,82
2022-01-09,86
2022-01-16,67
2022-01-23,79
2022-01-30,79
2022-02-06,80
2022-02-13,72
2022-02-20,79
2022-02-27,77
2022-03-06,81
2022-03-13,84
2022-03-20,83
2022-03-27,81
2022-04-03,79
2022-04-10,80
2022-04-17,89
2022-04-24,82
2022-05-01,82
2022-05-08,83
2022-05-15,91
2022-05-22,88
2022-05-29,86
2022-06-05,89
2022-06-12,91
2022-06-19,94
2022-06-26,86
2022-07-03,95
2022-07-10,95
2022-07-17,93
2022-07-24,96
2022-07-31,85
2022-08-07,90
2022-08-14,88
2022-08-21,96
2022-08-28,88
2022-09-04,82
2022-09-11,78
2022-09-18,84
2022-09-25,78
2022-10-02,74
2022-10-09,79
2022-10-16,79
2022-10-23,79
2022-10-30,77
2022-11-06,72
2022-11-13,67
2022-11-20,66
2022-11-27,73
2022-12-04,81
2022-12-11,76
2022-12-18,61
2022-12-25,67
2023-01-01,79
2023-01-08,88
2023-01-15,84
2023-01-22,79
2023-01-29,79
2023-02-05,81
2023-02-12,84
2023-02-19,83
2023-02-26,81
2023-03-05,89
2023-03-12,86
2023-03-19,91
2023-03-26,85
2023-04-02,86
2023-04-09,90
2023-04-16,95
2023-04-23,88
2023-04-30,89
2023-05-07,98
2023-05-14,100
2023-05-21,94
2023-05-28,94
2023-06-04,90
2023-06-11,88
2023-06-18,94
2023-06-25,91
2023-07-02,95
2023-07-09,87
2023-07-16,91
2023-07-23,93
2023-07-30,89
2023-08-06,89
2023-08-13,78
2023-08-20,88
2023-08-27,88
2023-09-03,85
2023-09-10,82
2023-09-17,87
2023-09-24,83
2023-10-01,87
2023-10-08,82
2023-10-15,77
2023-10-22,73
2023-10-29,77
2023-11-05,71
2023-11-12,74
2023-11-19,54
2023-11-26,64
2023-12-03,78
2023-12-10,82
2023-12-17,75
2023-12-24,73
2023-12-31,78
2024-01-07,73
2024-01-14,67
2024-01-21,74
2024-01-28,88
2024-02-04,86
2024-02-11,85
2024-02-18,84
2024-02-25,87
2024-03-03,84
2024-03-10,88
2024-03-17,89
2024-03-24,88
2024-03-31,91
2024-04-07,96
2024-04-14,93
2024-04-21,97
2024-04-28,91
2024-05-05,84
2024-05-12,81
2024-05-19,91
2024-05-26,84
2024-06-02,84
2024-06-09,99
2024-06-16,90
2024-06-23,90
2024-06-30,96
2024-07-07,88
2024-07-14,93
2024-07-21,94
2024-07-28,88
2024-08-04,87
2024-08-11,78
2024-08-18,92
2024-08-25,86
2024-09-01,85
2024-09-08,87
2024-09-15,88
2024-09-22,88
2024-09-29,84
2024-10-06,78
2024-10-13,84
2024-10-20,85
2024-10-27,76
2024-11-03,65
2024-11-10,75
2024-11-17,73
2024-11-24,72
2024-12-01,74
2024-12-08,70
2024-12-15,70
2024-12-22,75
2024-12-29,77
2025-01-05,73
2025-01-12,83
2025-01-19,68
2025-01-26,86
2025-02-02,91
2025-02-09,77
2025-02-16,84
2025-02-23,96
2025-03-02,89
2025-03-09,95
2025-03-16,94
2025-03-23,85
2025-03-30,88
2025-04-06,91
2025-04-13,91
2025-04-20,96
2025-04-27,100
2025-05-04,95
2025-05-11,86
