Category: All categories

Time,golf: (United States)
2025-04-25T15:08:00-07:00,73
2025-04-25T15:16:00-07:00,71
2025-04-25T15:24:00-07:00,75
2025-04-25T15:32:00-07:00,77
2025-04-25T15:40:00-07:00,74
2025-04-25T15:48:00-07:00,74
2025-04-25T15:56:00-07:00,67
2025-04-25T16:04:00-07:00,66
2025-04-25T16:12:00-07:00,65
2025-04-25T16:20:00-07:00,66
2025-04-25T16:28:00-07:00,70
2025-04-25T16:36:00-07:00,67
2025-04-25T16:44:00-07:00,65
2025-04-25T16:52:00-07:00,67
2025-04-25T17:00:00-07:00,66
2025-04-25T17:08:00-07:00,67
2025-04-25T17:16:00-07:00,64
2025-04-25T17:24:00-07:00,69
2025-04-25T17:32:00-07:00,66
2025-04-25T17:40:00-07:00,69
2025-04-25T17:48:00-07:00,67
2025-04-25T17:56:00-07:00,64
2025-04-25T18:04:00-07:00,62
2025-04-25T18:12:00-07:00,66
2025-04-25T18:20:00-07:00,64
2025-04-25T18:28:00-07:00,64
2025-04-25T18:36:00-07:00,62
2025-04-25T18:44:00-07:00,60
2025-04-25T18:52:00-07:00,57
2025-04-25T19:00:00-07:00,59
2025-04-25T19:08:00-07:00,62
2025-04-25T19:16:00-07:00,62
2025-04-25T19:24:00-07:00,60
2025-04-25T19:32:00-07:00,61
2025-04-25T19:40:00-07:00,70
2025-04-25T19:48:00-07:00,59
2025-04-25T19:56:00-07:00,68
2025-04-25T20:04:00-07:00,60
2025-04-25T20:12:00-07:00,55
2025-04-25T20:20:00-07:00,60
2025-04-25T20:28:00-07:00,55
2025-04-25T20:36:00-07:00,57
2025-04-25T20:44:00-07:00,55
2025-04-25T20:52:00-07:00,53
2025-04-25T21:00:00-07:00,57
2025-04-25T21:08:00-07:00,52
2025-04-25T21:16:00-07:00,55
2025-04-25T21:24:00-07:00,51
2025-04-25T21:32:00-07:00,52
2025-04-25T21:40:00-07:00,50
2025-04-25T21:48:00-07:00,52
2025-04-25T21:56:00-07:00,51
2025-04-25T22:04:00-07:00,51
2025-04-25T22:12:00-07:00,49
2025-04-25T22:20:00-07:00,47
2025-04-25T22:28:00-07:00,45
2025-04-25T22:36:00-07:00,47
2025-04-25T22:44:00-07:00,48
2025-04-25T22:52:00-07:00,48
2025-04-25T23:00:00-07:00,45
2025-04-25T23:08:00-07:00,42
2025-04-25T23:16:00-07:00,42
2025-04-25T23:24:00-07:00,43
2025-04-25T23:32:00-07:00,42
2025-04-25T23:40:00-07:00,43
2025-04-25T23:48:00-07:00,43
2025-04-25T23:56:00-07:00,43
2025-04-26T00:04:00-07:00,37
2025-04-26T00:12:00-07:00,35
2025-04-26T00:20:00-07:00,34
2025-04-26T00:28:00-07:00,37
2025-04-26T00:36:00-07:00,44
2025-04-26T00:44:00-07:00,37
2025-04-26T00:52:00-07:00,35
2025-04-26T01:00:00-07:00,33
2025-04-26T01:08:00-07:00,43
2025-04-26T01:16:00-07:00,38
2025-04-26T01:24:00-07:00,39
2025-04-26T01:32:00-07:00,40
2025-04-26T01:40:00-07:00,34
2025-04-26T01:48:00-07:00,38
2025-04-26T01:56:00-07:00,45
2025-04-26T02:04:00-07:00,53
2025-04-26T02:12:00-07:00,43
2025-04-26T02:20:00-07:00,39
2025-04-26T02:28:00-07:00,53
2025-04-26T02:36:00-07:00,45
2025-04-26T02:44:00-07:00,45
2025-04-26T02:52:00-07:00,55
2025-04-26T03:00:00-07:00,59
2025-04-26T03:08:00-07:00,60
2025-04-26T03:16:00-07:00,65
2025-04-26T03:24:00-07:00,72
2025-04-26T03:32:00-07:00,67
2025-04-26T03:40:00-07:00,68
2025-04-26T03:48:00-07:00,70
2025-04-26T03:56:00-07:00,70
2025-04-26T04:04:00-07:00,74
2025-04-26T04:12:00-07:00,74
2025-04-26T04:20:00-07:00,79
2025-04-26T04:28:00-07:00,84
2025-04-26T04:36:00-07:00,81
2025-04-26T04:44:00-07:00,81
2025-04-26T04:52:00-07:00,88
2025-04-26T05:00:00-07:00,86
2025-04-26T05:08:00-07:00,85
2025-04-26T05:16:00-07:00,93
2025-04-26T05:24:00-07:00,100
2025-04-26T05:32:00-07:00,93
2025-04-26T05:40:00-07:00,89
2025-04-26T05:48:00-07:00,91
2025-04-26T05:56:00-07:00,92
2025-04-26T06:04:00-07:00,93
2025-04-26T06:12:00-07:00,100
2025-04-26T06:20:00-07:00,95
2025-04-26T06:28:00-07:00,96
2025-04-26T06:36:00-07:00,93
2025-04-26T06:44:00-07:00,94
2025-04-26T06:52:00-07:00,97
2025-04-26T07:00:00-07:00,93
2025-04-26T07:08:00-07:00,96
2025-04-26T07:16:00-07:00,97
2025-04-26T07:24:00-07:00,93
2025-04-26T07:32:00-07:00,100
2025-04-26T07:40:00-07:00,91
2025-04-26T07:48:00-07:00,93
2025-04-26T07:56:00-07:00,94
2025-04-26T08:04:00-07:00,96
2025-04-26T08:12:00-07:00,89
2025-04-26T08:20:00-07:00,96
2025-04-26T08:28:00-07:00,91
2025-04-26T08:36:00-07:00,91
2025-04-26T08:44:00-07:00,93
2025-04-26T08:52:00-07:00,96
2025-04-26T09:00:00-07:00,90
2025-04-26T09:08:00-07:00,86
2025-04-26T09:16:00-07:00,93
2025-04-26T09:24:00-07:00,91
2025-04-26T09:32:00-07:00,89
2025-04-26T09:40:00-07:00,90
2025-04-26T09:48:00-07:00,85
2025-04-26T09:56:00-07:00,86
2025-04-26T10:04:00-07:00,83
2025-04-26T10:12:00-07:00,86
2025-04-26T10:20:00-07:00,91
2025-04-26T10:28:00-07:00,84
2025-04-26T10:36:00-07:00,89
2025-04-26T10:44:00-07:00,83
2025-04-26T10:52:00-07:00,86
2025-04-26T11:00:00-07:00,89
2025-04-26T11:08:00-07:00,77
2025-04-26T11:16:00-07:00,81
2025-04-26T11:24:00-07:00,79
2025-04-26T11:32:00-07:00,79
2025-04-26T11:40:00-07:00,85
2025-04-26T11:48:00-07:00,87
2025-04-26T11:56:00-07:00,87
2025-04-26T12:04:00-07:00,85
2025-04-26T12:12:00-07:00,87
2025-04-26T12:20:00-07:00,86
2025-04-26T12:28:00-07:00,87
2025-04-26T12:36:00-07:00,82
2025-04-26T12:44:00-07:00,88
2025-04-26T12:52:00-07:00,88
2025-04-26T13:00:00-07:00,85
2025-04-26T13:08:00-07:00,80
2025-04-26T13:16:00-07:00,81
2025-04-26T13:24:00-07:00,88
2025-04-26T13:32:00-07:00,85
2025-04-26T13:40:00-07:00,85
2025-04-26T13:48:00-07:00,85
2025-04-26T13:56:00-07:00,87
2025-04-26T14:04:00-07:00,86
2025-04-26T14:12:00-07:00,84
2025-04-26T14:20:00-07:00,91
2025-04-26T14:28:00-07:00,82
2025-04-26T14:36:00-07:00,87
2025-04-26T14:44:00-07:00,77
2025-04-26T14:52:00-07:00,81
2025-04-26T15:00:00-07:00,79
2025-04-26T15:08:00-07:00,86
