类别：所有类别

月份,yahoo: (美国)
2004-01,39
2004-02,41
2004-03,40
2004-04,40
2004-05,42
2004-06,44
2004-07,48
2004-08,45
2004-09,47
2004-10,46
2004-11,49
2004-12,50
2005-01,53
2005-02,51
2005-03,49
2005-04,52
2005-05,54
2005-06,57
2005-07,58
2005-08,60
2005-09,60
2005-10,61
2005-11,60
2005-12,62
2006-01,63
2006-02,60
2006-03,64
2006-04,63
2006-05,62
2006-06,70
2006-07,73
2006-08,71
2006-09,71
2006-10,73
2006-11,69
2006-12,69
2007-01,68
2007-02,71
2007-03,72
2007-04,68
2007-05,76
2007-06,73
2007-07,75
2007-08,75
2007-09,75
2007-10,74
2007-11,76
2007-12,77
2008-01,73
2008-02,73
2008-03,75
2008-04,74
2008-05,76
2008-06,83
2008-07,82
2008-08,83
2008-09,86
2008-10,92
2008-11,92
2008-12,89
2009-01,86
2009-02,90
2009-03,97
2009-04,90
2009-05,92
2009-06,97
2009-07,94
2009-08,96
2009-09,99
2009-10,100
2009-11,94
2009-12,94
2010-01,91
2010-02,91
2010-03,93
2010-04,97
2010-05,96
2010-06,100
2010-07,92
2010-08,96
2010-09,96
2010-10,96
2010-11,92
2010-12,91
2011-01,91
2011-02,97
2011-03,97
2011-04,89
2011-05,94
2011-06,93
2011-07,94
2011-08,99
2011-09,96
2011-10,93
2011-11,92
2011-12,91
2012-01,90
2012-02,88
2012-03,91
2012-04,91
2012-05,89
2012-06,85
2012-07,87
2012-08,88
2012-09,89
2012-10,98
2012-11,99
2012-12,96
2013-01,93
2013-02,92
2013-03,90
2013-04,86
2013-05,88
2013-06,88
2013-07,83
2013-08,87
2013-09,85
2013-10,78
2013-11,73
2013-12,70
2014-01,67
2014-02,67
2014-03,67
2014-04,67
2014-05,65
2014-06,66
2014-07,66
2014-08,65
2014-09,67
2014-10,65
2014-11,63
2014-12,63
2015-01,56
2015-02,57
2015-03,56
2015-04,55
2015-05,53
2015-06,53
2015-07,53
2015-08,57
2015-09,57
2015-10,53
2015-11,50
2015-12,49
2016-01,45
2016-02,42
2016-03,41
2016-04,44
2016-05,41
2016-06,41
2016-07,43
2016-08,43
2016-09,42
2016-10,40
2016-11,39
2016-12,37
2017-01,38
2017-02,38
2017-03,36
2017-04,38
2017-05,38
2017-06,37
2017-07,37
2017-08,40
2017-09,40
2017-10,38
2017-11,38
2017-12,37
2018-01,36
2018-02,38
2018-03,36
2018-04,36
2018-05,31
2018-06,32
2018-07,31
2018-08,33
2018-09,33
2018-10,31
2018-11,29
2018-12,29
2019-01,28
2019-02,28
2019-03,27
2019-04,26
2019-05,28
2019-06,28
2019-07,29
2019-08,29
2019-09,30
2019-10,29
2019-11,27
2019-12,29
2020-01,29
2020-02,29
2020-03,34
2020-04,32
2020-05,30
2020-06,32
2020-07,34
2020-08,31
2020-09,28
2020-10,30
2020-11,30
2020-12,30
2021-01,31
2021-02,32
2021-03,29
2021-04,30
2021-05,30
2021-06,30
2021-07,27
2021-08,30
2021-09,30
2021-10,30
2021-11,30
2021-12,30
2022-01,27
2022-02,26
2022-03,26
2022-04,26
2022-05,24
2022-06,26
2022-07,25
2022-08,27
2022-09,26
2022-10,24
2022-11,25
2022-12,25
2023-01,24
2023-02,25
2023-03,25
2023-04,23
2023-05,23
2023-06,24
2023-07,24
2023-08,23
2023-09,23
2023-10,23
2023-11,22
2023-12,22
2024-01,22
2024-02,19
2024-03,19
2024-04,18
2024-05,19
2024-06,17
2024-07,18
2024-08,19
2024-09,18
2024-10,17
2024-11,16
2024-12,16
2025-01,16
2025-02,16
