epoch,step,train_loss,val_loss
0,40,,0.5174798965454102
1,49,0.5027536153793335,
1,81,,0.41893208026885986
2,99,0.39909598231315613,
2,122,,0.3873593211174011
3,149,0.3728460371494293,
3,163,,0.3744875192642212
4,199,0.3699696660041809,
4,204,,0.36638695001602173
5,245,,0.3604673147201538
6,249,0.35564106702804565,
6,286,,0.35543882846832275
7,299,0.34691697359085083,
7,327,,0.3511147201061249
8,349,0.3360113501548767,
8,368,,0.3471309542655945
9,399,0.33019739389419556,
9,409,,0.3437623083591461
10,449,0.3293660581111908,
10,450,,0.3405243158340454
11,491,,0.33742761611938477
12,499,0.3450695276260376,
12,532,,0.3346395790576935
13,549,0.34892553091049194,
13,573,,0.3323425054550171
14,599,0.32656165957450867,
14,614,,0.3299716114997864
15,649,0.33343613147735596,
15,655,,0.32782405614852905
16,696,,0.3259281814098358
17,699,0.3262966275215149,
17,737,,0.32425495982170105
18,749,0.30419832468032837,
18,778,,0.3220999836921692
19,799,0.31115007400512695,
19,819,,0.32026395201683044
